gpsc	stCount	st
112	9	4033, 5809, 9767, 11661, 11776, 12420, 12778, 15616, 16283
113	15	353, 775, 2160, 2882, 5463, 6018, 6870, 7413, 10754, 11336, 13892, 13910, 14578, 16867, 17138
114	5	5326, 8827, 10787, 12258, 12530
115	10	135, 1348, 1662, 3614, 10808, 12169, 12357, 13866, 15535, 16118
116	13	5080, 7706, 7707, 10878, 11102, 11656, 12577, 13882, 14539, 14540, 15705, 16728, 16736
117	9	6103, 11754, 11755, 11756, 12208, 12240, 12266, 12289, 15617
119	8	251, 654, 1258, 1340, 3616, 9746, 9748, 10881
120	13	1590, 2987, 3531, 5613, 9496, 10596, 10682, 11796, 12322, 16746, 16798, 16821, 17080
121	3	2929, 4029, 10676
122	3	4113, 12274, 14606
123	6	447, 1033, 6574, 12702, 17037, 17064
124	5	235, 1030, 1257, 13913, 15690
125	9	4987, 5624, 10642, 10657, 10961, 10973, 12233, 16858, 17120
126	10	1368, 4083, 9408, 10576, 10979, 11009, 12295, 16781, 16782, 17118
127	2	6690, 12797
128	2	4389, 12207
129	6	385, 3207, 9492, 10841, 15780, 15823
131	8	766, 3669, 5224, 8495, 11790, 13869, 13875, 15563
132	3	3280, 7479, 10161
133	4	11763, 12281, 12578, 12611
134	6	901, 1260, 3129, 11025, 15869, 15914
135	5	659, 995, 3157, 10170, 10224
136	7	5636, 5637, 5638, 5639, 6564, 6587, 7458
137	8	3782, 3983, 6037, 6485, 10900, 12610, 13897, 17122
138	2	7518, 7635
139	4	6524, 12833, 13903, 14437
140	4	58, 817, 10764, 15185
142	9	2419, 3594, 5456, 8840, 9523, 9536, 10588, 12351, 12549
143	6	2070, 9572, 9936, 12253, 14846, 15732
144	9	5676, 5677, 6584, 6585, 7443, 7444, 7445, 7446, 7459
145	8	5483, 10826, 10860, 10956, 12244, 12344, 12707, 16846
146	3	994, 4197, 10722
147	12	6040, 6911, 7674, 10873, 10922, 11002, 12410, 15577, 16046, 16086, 16745, 17063
148	9	9519, 10643, 10893, 10990, 11001, 11095, 12155, 12685, 16764
149	4	4399, 16191, 16218, 16256
150	7	2208, 2818, 10610, 10776, 10907, 12752, 13896
151	1	6707
152	8	3397, 6343, 7768, 8914, 9764, 9765, 9768, 11952
155	6	105, 2159, 2650, 5604, 10585, 12587
156	8	1840, 2685, 3551, 10148, 10439, 12187, 13946, 14519
157	1	10914
158	6	2966, 6149, 6791, 12268, 12270, 15985
159	8	6278, 7131, 9937, 10706, 10795, 16881, 16882, 16967
160	1	9813
161	3	9449, 9570, 12673
162	16	801, 1022, 1222, 3784, 4127, 5872, 6832, 10916, 12202, 12400, 12401, 12920, 14136, 14731, 15960, 17012
163	8	10568, 10633, 11061, 12256, 12263, 12321, 12337, 12343
164	2	2169, 10909
165	7	3751, 4640, 6209, 6460, 6578, 11955, 15580
168	4	10698, 11766, 16856, 16869
169	4	2911, 12412, 15748, 16163
170	14	2714, 2856, 7689, 10995, 10998, 11044, 13172, 14505, 14506, 14576, 15638, 15644, 15645, 16744
171	8	3473, 8692, 10772, 10886, 11709, 12599, 12683, 16952
172	4	291, 8496, 9745, 12237
173	1	12290
175	6	425, 485, 5460, 6048, 6937, 10450
176	3	9491, 11028, 16790
177	4	2991, 7566, 7567, 12375
178	7	2185, 3930, 4879, 6310, 7345, 12128, 16629
179	2	10550, 12603
180	6	4966, 15880, 15888, 15910, 15990, 16006
181	2	4368, 10884
182	4	1729, 2941, 9197, 12306
183	7	2902, 9461, 9465, 9466, 12259, 12341, 12354
184	8	702, 5392, 7651, 9552, 12750, 14931, 15757, 15783
185	7	553, 2016, 2017, 2038, 2666, 8596, 9435
186	2	12374, 15569
189	14	5464, 5467, 5471, 5619, 6731, 7420, 7421, 7454, 7455, 9463, 9501, 9551, 9916, 10646
190	3	1090, 9549, 12356
191	2	494, 546
192	8	8676, 8776, 9545, 10740, 10762, 10883, 12349, 12843
193	3	1131, 1526, 12718
194	6	5578, 10666, 10866, 10945, 10977, 12124
